0.0000sec.; Torque load: 0.0000
0.0001sec.; Torque load: 11.7000
0.0003sec.; Torque load: 11.7000
0.0004sec.; Torque load: 11.7000
0.0005sec.; Torque load: 11.7000
0.0006sec.; Torque load: 11.7000
0.0008sec.; Torque load: 11.7000
0.0009sec.; Torque load: 11.7000
0.0010sec.; Torque load: 11.7000
0.0011sec.; Torque load: 11.7000
0.0013sec.; Torque load: 11.7000
0.0014sec.; Torque load: 11.7000
0.0015sec.; Torque load: 11.7000
0.0016sec.; Torque load: 11.7000
0.0018sec.; Torque load: 11.7000
0.0019sec.; Torque load: 11.7000
0.0020sec.; Torque load: 11.7000
0.0021sec.; Torque load: 11.7000
0.0023sec.; Torque load: 11.7000
0.0024sec.; Torque load: 11.7000
0.0025sec.; Torque load: 11.7000
0.0026sec.; Torque load: 11.7000
0.0027sec.; Torque load: 11.7000
0.0029sec.; Torque load: 11.7000
0.0030sec.; Torque load: 11.7000
0.0031sec.; Torque load: 11.7000
0.0033sec.; Torque load: 11.7000
0.0034sec.; Torque load: 11.7000
0.0035sec.; Torque load: 11.7000
0.0036sec.; Torque load: 11.7000
0.0037sec.; Torque load: 11.7000
0.0039sec.; Torque load: 11.7000
0.0040sec.; Torque load: 11.7000
0.0041sec.; Torque load: 11.7000
0.0043sec.; Torque load: 11.7000
0.0044sec.; Torque load: 11.7000
0.0045sec.; Torque load: 11.7000
0.0046sec.; Torque load: 11.7000
0.0047sec.; Torque load: 11.7000
0.0049sec.; Torque load: 11.7000
0.0050sec.; Torque load: 11.7000
0.0051sec.; Torque load: 11.7000
0.0053sec.; Torque load: 11.7000
0.0054sec.; Torque load: 11.7000
0.0055sec.; Torque load: 11.7000
0.0056sec.; Torque load: 11.7000
0.0057sec.; Torque load: 11.7000
0.0059sec.; Torque load: 11.7000
0.0060sec.; Torque load: 11.7000
0.0061sec.; Torque load: 11.7000
0.0063sec.; Torque load: 11.7000
0.0064sec.; Torque load: 11.7000
0.0065sec.; Torque load: 11.7000
0.0066sec.; Torque load: 11.7000
0.0067sec.; Torque load: 11.7000
0.0069sec.; Torque load: 11.7000
0.0070sec.; Torque load: 11.7000
0.0071sec.; Torque load: 11.7000
0.0073sec.; Torque load: 11.7000
0.0074sec.; Torque load: 11.7000
0.0075sec.; Torque load: 11.7000
0.0076sec.; Torque load: 11.7000
0.0077sec.; Torque load: 11.7000
0.0079sec.; Torque load: 11.7000
0.0080sec.; Torque load: 11.7000
0.0081sec.; Torque load: 11.7000
0.0083sec.; Torque load: 11.7000
0.0084sec.; Torque load: 11.7000
0.0085sec.; Torque load: 11.7000
0.0086sec.; Torque load: 11.7000
0.0088sec.; Torque load: 11.7000
0.0089sec.; Torque load: 11.7000
0.0090sec.; Torque load: 11.7000
0.0091sec.; Torque load: 11.7000
0.0092sec.; Torque load: 11.7000
0.0094sec.; Torque load: 11.7000
0.0095sec.; Torque load: 11.7000
0.0096sec.; Torque load: 11.7000
0.0097sec.; Torque load: 11.7000
0.0099sec.; Torque load: 11.7000
