0.0001sec. imr:0.0240248
0.0002sec. imr:0.10381
0.0003sec. imr:0.137435
0.0004sec. imr:0.194237
0.0005sec. imr:0.255233
0.0006sec. imr:0.319242
0.0007sec. imr:0.385944
0.0008sec. imr:0.460612
0.0009sec. imr:0.53925
0.001sec. imr:0.620759
0.0011sec. imr:0.703906
0.0012sec. imr:0.787452
0.0013sec. imr:0.876479
0.0014sec. imr:0.969422
0.0015sec. imr:1.06532
0.0016sec. imr:1.16326
0.0017sec. imr:1.26236
0.0018sec. imr:1.36174
0.0019sec. imr:1.46057
0.002sec. imr:1.56198
0.0021sec. imr:1.66677
0.0022sec. imr:1.77455
0.0023sec. imr:1.88486
0.0024sec. imr:1.99711
0.0025sec. imr:2.11065
0.0026sec. imr:2.22537
0.0027sec. imr:2.34169
0.0028sec. imr:2.45918
0.0029sec. imr:2.57744
0.003sec. imr:2.69603
0.0031sec. imr:2.81448
0.0032sec. imr:2.93234
0.0033sec. imr:3.04915
0.0034sec. imr:3.16444
0.0035sec. imr:3.2816
0.0036sec. imr:3.40111
0.0037sec. imr:3.52321
0.0038sec. imr:3.64798
0.0039sec. imr:3.77554
0.004sec. imr:3.90587
0.0041sec. imr:4.03882
0.0042sec. imr:4.17417
0.0043sec. imr:4.31161
0.0044sec. imr:4.45077
0.0045sec. imr:4.59123
0.0046sec. imr:4.73248
0.0047sec. imr:4.87398
0.0048sec. imr:5.0151
0.0049sec. imr:5.15696
0.005sec. imr:5.30106
0.0051sec. imr:5.44786
0.0052sec. imr:5.59768
0.0053sec. imr:5.75076
0.0054sec. imr:5.90718
0.0055sec. imr:6.06694
0.0056sec. imr:6.22995
0.0057sec. imr:6.39608
0.0058sec. imr:6.5651
0.0059sec. imr:6.73675
0.006sec. imr:6.91072
0.0061sec. imr:7.08668
0.0062sec. imr:7.26424
0.0063sec. imr:7.443
0.0064sec. imr:7.62251
0.0065sec. imr:7.80231
0.0066sec. imr:7.98188
0.0067sec. imr:8.16068
0.0068sec. imr:8.34008
0.0069sec. imr:8.52092
0.007sec. imr:8.70362
0.0071sec. imr:8.8885
0.0072sec. imr:9.07577
0.0073sec. imr:9.2656
0.0074sec. imr:9.45806
0.0075sec. imr:9.65319
0.0076sec. imr:9.85096
0.0077sec. imr:10.0513
0.0078sec. imr:10.2541
0.0079sec. imr:10.4592
0.008sec. imr:10.6664
0.0081sec. imr:10.8755
0.0082sec. imr:11.0863
0.0083sec. imr:11.2985
0.0084sec. imr:11.512
0.0085sec. imr:11.7262
0.0086sec. imr:11.9411
0.0087sec. imr:12.1562
0.0088sec. imr:12.3712
0.0089sec. imr:12.5857
0.009sec. imr:12.7994
0.0091sec. imr:13.0119
0.0092sec. imr:13.2239
0.0093sec. imr:13.4364
0.0094sec. imr:13.6497
0.0095sec. imr:13.8643
0.0096sec. imr:14.0804
0.0097sec. imr:14.2982
0.0098sec. imr:14.5179
0.0099sec. imr:14.7397
0.01sec. imr:14.9636
0.0101sec. imr:15.1897
0.0102sec. imr:15.418
0.0103sec. imr:15.6485
0.0104sec. imr:15.8811
0.0105sec. imr:16.1158
0.0106sec. imr:16.3522
0.0107sec. imr:16.59
0.0108sec. imr:16.8288
0.0109sec. imr:17.0683
0.011sec. imr:17.308
0.0111sec. imr:17.5474
0.0112sec. imr:17.786
