EUDC	UN/ECE Reg 83 Extra-Urban Driving Cycle (Part 2 of the Type 1 Test)
Test Time, secs	Vehicle Speed, kph
0.0	0.0
1.0	70.0
2.0	70.0
3.0	70.0
4.0	70.0
5.0	70.0
6.0	70.0
7.0	70.0
8.0	70.0
9.0	70.0
10.0	70.0
11.0	70.0
12.0	70.0
13.0	70.0
14.0	70.0
15.0	70.0
16.0	70.0
17.0	70.0
18.0	70.0
19.0	70.0
20.0	70.0
21.0	70.0
22.0	70.0
23.0	70.0
24.0	70.0
25.0	70.0
26.0	70.0
27.0	70.0
28.0	70.0
29.0	70.0
30.0	70.0
31.0	70.0
32.0	70.0
33.0	70.0
34.0	70.0
35.0	70.0
36.0	70.0
37.0	70.0
38.0	70.0
39.0	70.0
40.0	70.0
41.0	70.0
42.0	70.0
43.0	70.0
44.0	70.0
45.0	67.5
46.0	65.0
47.0	62.5
48.0	60.0
49.0	57.5
50.0	55.0
51.0	52.5
52.0	50.0
53.0	50.0
54.0	50.0
55.0	50.0
56.0	50.0
57.0	50.0
58.0	50.0
59.0	51.5
60.0	53.1
61.0	54.6
62.0	56.2
63.0	57.7
64.0	59.2
65.0	60.8
66.0	62.3
67.0	63.8
68.0	65.4
69.0	66.9
70.0	68.5
71.0	70.0
72.0	70.0
73.0	70.0
74.0	70.0
75.0	70.0
76.0	70.9
77.0	71.7
78.0	72.6
79.0	73.4
80.0	74.3
81.0	75.1
82.0	76.0
83.0	76.9
84.0	77.7
85.0	78.6
86.0	79.4
87.0	80.3
88.0	81.1
89.0	82.0
90.0	82.9
91.0	83.7
92.0	84.6
93.0	85.4
94.0	86.3
95.0	87.1
96.0	88.0
97.0	88.9
98.0	89.7
99.0	90.6
100.0	91.4
101.0	92.3
102.0	93.1
103.0	94.0
104.0	94.9
105.0	95.7
106.0	96.6
107.0	97.4
108.0	98.3
109.0	99.1
110.0	100.0
111.0	100.0
112.0	100.0
113.0	100.0
114.0	100.0
115.0	100.0
116.0	101.0
117.0	102.0
118.0	103.0
119.0	104.0
120.0	105.0
121.0	106.0
122.0	107.0
123.0	108.0
124.0	109.0
125.0	110.0
126.0	111.0
127.0	112.0
128.0	113.0
129.0	114.0
130.0	115.0
131.0	116.0
132.0	117.0
133.0	118.0
134.0	119.0
135.0	120.0
136.0	120.0
137.0	120.0
138.0	120.0
139.0	120.0
140.0	120.0
141.0	120.0
142.0	120.0
143.0	120.0
144.0	120.0
145.0	120.0
146.0	117.5
147.0	115.0
148.0	112.5
149.0	110.0
150.0	107.5
151.0	105.0
152.0	102.5
153.0	100.0
154.0	97.5
155.0	95.0
156.0	92.5
157.0	90.0
158.0	87.5
159.0	85.0
160.0	82.5
161.0	80.0
162.0	76.3
163.0	72.5
164.0	68.8
165.0	65.0
166.0	61.3
167.0	57.5
168.0	53.8
169.0	50.0
170.0	45.0
171.0	40.0
172.0	35.0
173.0	30.0
174.0	25.0
175.0	20.0
176.0	15.0
177.0	10.0
178.0	5.0
179.0	0.0
180.0	0.0
181.0	0.0
182.0	0.0
183.0	0.0
184.0	0.0
185.0	0.0
186.0	0.0
187.0	0.0
188.0	0.0
189.0	0.0
190.0	0.0
191.0	0.0
192.0	0.0
193.0	0.0
194.0	0.0
195.0	0.0
196.0	0.0
197.0	0.0
198.0	0.0
199.0	0.0
